Date,Price,Open,High,Low,Volume,%Change
1/1/21,1898.10,1897.69,1899.12,1897.39,,0.09%
4/1/21,1942.28,1906.05,1944.65,1905.36,,2.33%
5/1/21,1949.35,1942.65,1953.17,1934.08,,0.36%
6/1/21,1918.81,1950.30,1959.60,1901.11,,-1.57%
7/1/21,1912.50,1919.40,1927.97,1906.86,,-0.33%
8/1/21,1848.26,1912.90,1917.85,1828.74,,-3.36%
11/1/21,1844.66,1849.34,1857.05,1817.14,,-0.19%
12/1/21,1855.63,1845.34,1864.08,1837.41,,0.59%
13/01/2021,1843.41,1856.19,1863.26,1843.34,,-0.66%
14/01/2021,1846.37,1843.94,1857.59,1833.21,,0.16%
15/01/2021,1826.59,1846.80,1856.85,1823.21,,-1.07%
18/01/2021,1836.89,1828.94,1840.95,1810.46,,0.56%
19/01/2021,1839.34,1838.09,1845.98,1833.06,,0.13%
20/01/2021,1870.91,1840.05,1872.03,1832.46,,1.72%
21/01/2021,1869.91,1871.07,1875.45,1858.16,,-0.05%
22/01/2021,1852.55,1870.09,1871.17,1837.09,,-0.93%
25/01/2021,1854.99,1855.75,1868.45,1847.30,,0.13%
26/01/2021,1850.31,1855.55,1861.86,1848.36,,-0.25%
27/01/2021,1843.99,1850.65,1853.58,1831.29,,-0.34%
28/01/2021,1840.36,1844.34,1864.26,1833.81,,-0.20%
29/01/2021,1846.09,1840.90,1876.03,1839.56,,0.31%
1/2/21,1860.16,1863.05,1871.84,1849.04,,0.76%
2/2/21,1837.35,1860.84,1864.26,1829.46,,-1.23%
3/2/21,1833.76,1837.49,1845.29,1829.49,,-0.20%
4/2/21,1792.26,1834.34,1835.13,1785.15,,-2.26%
5/2/21,1811.62,1792.49,1815.32,1791.80,,1.08%
8/2/21,1830.16,1815.44,1839.15,1807.48,,1.02%
9/2/21,1837.06,1830.59,1849.15,1828.63,,0.38%
10/2/21,1842.22,1837.55,1855.70,1833.91,,0.28%
11/2/21,1825.36,1842.65,1847.95,1820.63,,-0.91%
12/2/21,1823.46,1825.90,1830.80,1810.33,,-0.10%
15/02/2021,1818.51,1825.34,1827.59,1815.71,,-0.27%
16/02/2021,1794.31,1819.34,1826.75,1789.19,,-1.33%
17/02/2021,1776.26,1794.65,1795.45,1769.27,,-1.01%
18/02/2021,1775.49,1776.69,1789.88,1767.98,,-0.04%
19/02/2021,1782.31,1776.19,1791.70,1760.13,,0.38%
22/02/2021,1808.66,1782.24,1812.76,1780.46,,1.48%
23/02/2021,1805.06,1809.09,1816.27,1795.78,,-0.20%
24/02/2021,1804.36,1805.34,1813.99,1783.30,,-0.04%
25/02/2021,1769.88,1804.80,1806.06,1765.44,,-1.91%
26/02/2021,1733.49,1770.49,1776.10,1717.26,,-2.06%
1/3/21,1723.84,1733.40,1760.02,1719.52,,-0.56%
2/3/21,1738.09,1724.10,1738.89,1707.18,,0.83%
3/3/21,1710.95,1738.59,1740.85,1701.94,,-1.56%
4/3/21,1697.19,1711.84,1723.34,1690.64,,-0.80%
5/3/21,1700.86,1698.59,1707.76,1687.12,,0.22%
8/3/21,1681.24,1702.80,1714.45,1676.70,,-1.15%
9/3/21,1715.36,1682.55,1720.83,1679.80,,2.03%
10/3/21,1726.05,1715.94,1726.76,1707.99,,0.62%
11/3/21,1721.41,1726.55,1739.99,1719.38,,-0.27%
12/3/21,1726.41,1721.59,1728.42,1698.85,,0.29%
15/03/2021,1731.84,1727.74,1734.99,1721.31,,0.31%
16/03/2021,1730.94,1730.57,1741.40,1725.80,,-0.05%
17/03/2021,1744.44,1730.61,1751.81,1724.14,,0.78%
18/03/2021,1736.41,1745.09,1755.59,1719.05,,-0.46%
19/03/2021,1744.74,1735.90,1746.88,1728.04,,0.48%
22/03/2021,1738.69,1745.74,1747.18,1727.40,,-0.35%
23/03/2021,1727.11,1739.05,1742.85,1724.42,,-0.67%
24/03/2021,1734.19,1727.80,1738.56,1723.85,,0.41%
25/03/2021,1726.82,1735.65,1745.95,1721.84,,-0.42%
26/03/2021,1731.97,1727.30,1737.01,1721.23,,0.30%
29/03/2021,1711.99,1732.15,1733.34,1705.58,,-1.15%
30/03/2021,1684.80,1712.55,1714.74,1678.85,,-1.59%
31/03/2021,1707.01,1685.59,1715.28,1677.93,,1.32%
1/4/21,1730.18,1708.09,1730.80,1705.42,,1.36%
2/4/21,1728.84,1730.47,1732.55,1728.67,,-0.08%
5/4/21,1728.44,1728.74,1733.75,1721.22,,-0.02%
6/4/21,1743.57,1728.49,1745.68,1726.82,,0.88%
7/4/21,1737.28,1742.96,1744.57,1730.13,,-0.36%
8/4/21,1755.94,1737.84,1759.13,1732.99,,1.07%
9/4/21,1743.10,1756.54,1757.47,1731.09,,-0.73%
12/4/21,1732.51,1743.80,1745.36,1727.18,,-0.61%
13/04/2021,1743.83,1732.59,1749.23,1723.27,,0.65%
14/04/2021,1736.00,1744.30,1749.58,1732.13,,-0.45%
15/04/2021,1763.21,1737.10,1769.91,1734.10,,1.57%
16/04/2021,1776.31,1763.84,1784.07,1759.79,,0.74%
19/04/2021,1769.31,1779.50,1790.54,1765.98,,-0.39%
20/04/2021,1777.25,1770.30,1780.77,1763.18,,0.45%
21/04/2021,1793.46,1778.64,1797.98,1775.95,,0.91%
22/04/2021,1783.94,1794.15,1798.29,1776.83,,-0.53%
23/04/2021,1777.18,1784.33,1796.06,1770.05,,-0.38%
26/04/2021,1780.19,1776.34,1783.69,1768.70,,0.17%
27/04/2021,1776.69,1780.42,1785.90,1773.52,,-0.20%
28/04/2021,1781.32,1776.80,1782.85,1762.56,,0.26%
29/04/2021,1771.24,1780.90,1790.43,1756.19,,-0.57%
30/04/2021,1768.59,1772.90,1773.98,1763.73,,-0.15%
3/5/21,1792.36,1768.49,1798.22,1765.91,,1.34%
4/5/21,1778.48,1792.29,1799.38,1770.84,,-0.77%
5/5/21,1786.44,1778.91,1788.35,1769.95,,0.45%
6/5/21,1815.18,1787.09,1818.21,1781.67,,1.61%
7/5/21,1830.48,1815.48,1843.45,1812.90,,0.84%
10/5/21,1835.44,1833.24,1845.53,1830.09,,0.27%
11/5/21,1836.94,1834.58,1842.32,1817.68,,0.08%
12/5/21,1815.44,1837.40,1843.69,1813.00,,-1.17%
13/05/2021,1826.57,1815.90,1828.81,1808.78,,0.61%
14/05/2021,1842.19,1826.49,1845.55,1819.79,,0.86%
17/05/2021,1866.13,1843.84,1868.80,1841.24,,1.30%
18/05/2021,1868.22,1866.59,1875.40,1862.94,,0.11%
19/05/2021,1869.57,1869.59,1890.15,1851.94,,0.07%
20/05/2021,1876.69,1869.74,1884.12,1863.53,,0.38%
21/05/2021,1880.30,1876.84,1889.85,1870.01,,0.19%
24/05/2021,1881.07,1882.34,1887.44,1875.19,,0.04%
25/05/2021,1899.26,1880.69,1900.63,1872.73,,0.97%
26/05/2021,1896.44,1899.49,1913.15,1890.34,,-0.15%
27/05/2021,1896.08,1896.49,1903.87,1888.22,,-0.02%
28/05/2021,1902.64,1897.05,1905.90,1881.84,,0.35%
31/05/2021,1906.36,1903.69,1911.13,1901.56,,0.20%
1/6/21,1900.19,1907.53,1916.84,1892.28,,-0.32%
2/6/21,1907.94,1900.05,1909.34,1894.05,,0.41%
3/6/21,1870.57,1908.09,1909.89,1865.11,,-1.96%
4/6/21,1889.97,1871.32,1896.60,1856.09,,1.04%
7/6/21,1899.00,1888.49,1900.41,1880.88,,0.48%
8/6/21,1892.82,1898.99,1903.95,1883.38,,-0.33%
9/6/21,1888.30,1893.49,1899.40,1886.58,,-0.24%
10/6/21,1898.14,1888.57,1900.09,1869.84,,0.52%
11/6/21,1876.64,1898.42,1903.30,1874.07,,-1.13%
14/06/2021,1865.99,1874.59,1878.21,1844.57,,-0.57%
15/06/2021,1858.69,1866.26,1869.67,1851.28,,-0.39%
16/06/2021,1811.95,1858.96,1862.43,1804.19,,-2.51%
17/06/2021,1773.31,1812.18,1825.58,1766.88,,-2.13%
18/06/2021,1763.34,1772.73,1797.24,1761.04,,-0.56%
21/06/2021,1782.95,1764.44,1786.75,1764.44,,1.11%
22/06/2021,1778.51,1783.23,1790.42,1771.99,,-0.25%
23/06/2021,1778.73,1778.80,1795.18,1773.13,,0.01%
24/06/2021,1775.18,1779.01,1788.56,1772.67,,-0.20%
25/06/2021,1780.34,1775.46,1790.60,1773.27,,0.29%
28/06/2021,1778.18,1781.24,1785.90,1770.69,,-0.12%
29/06/2021,1761.09,1778.44,1779.24,1750.11,,-0.96%
30/06/2021,1769.80,1761.35,1774.72,1752.78,,0.49%
1/7/21,1776.60,1770.06,1783.07,1765.47,,0.38%
2/7/21,1786.79,1776.83,1795.40,1773.73,,0.57%
5/7/21,1791.61,1787.69,1795.69,1784.09,,0.27%
6/7/21,1796.69,1791.88,1815.34,1789.91,,0.28%
7/7/21,1803.41,1796.96,1810.13,1793.64,,0.37%
8/7/21,1802.56,1803.67,1818.70,1794.28,,-0.05%
9/7/21,1807.98,1802.89,1812.71,1796.09,,0.30%
12/7/21,1805.88,1807.94,1811.04,1791.21,,-0.12%
13/07/2021,1807.44,1806.17,1817.51,1798.54,,0.09%
14/07/2021,1827.06,1807.72,1830.32,1804.21,,1.09%
15/07/2021,1829.19,1827.35,1833.99,1820.07,,0.12%
16/07/2021,1810.89,1829.45,1832.20,1808.65,,-1.00%
19/07/2021,1812.34,1811.65,1817.56,1794.66,,0.08%
20/07/2021,1810.03,1812.61,1825.27,1805.06,,-0.13%
21/07/2021,1803.31,1810.32,1814.02,1794.18,,-0.37%
22/07/2021,1806.69,1803.58,1808.34,1792.11,,0.19%
23/07/2021,1801.34,1806.95,1810.56,1790.45,,-0.30%
26/07/2021,1797.27,1802.65,1811.97,1795.68,,-0.23%
27/07/2021,1798.73,1797.53,1805.60,1792.83,,0.08%
28/07/2021,1806.88,1799.00,1809.90,1792.60,,0.45%
29/07/2021,1827.95,1807.15,1833.05,1806.29,,1.17%
30/07/2021,1813.58,1828.21,1831.63,1809.48,,-0.79%
2/8/21,1813.39,1814.34,1819.94,1805.12,,-0.01%
3/8/21,1809.94,1813.64,1815.18,1806.73,,-0.19%
4/8/21,1811.41,1810.60,1832.10,1806.54,,0.08%
5/8/21,1804.01,1811.69,1815.45,1797.74,,-0.41%
6/8/21,1762.69,1804.28,1804.93,1758.33,,-2.29%
9/8/21,1729.46,1763.34,1764.65,1684.77,,-1.89%
10/8/21,1728.71,1729.74,1738.49,1717.17,,-0.04%
11/8/21,1751.56,1729.01,1754.63,1723.54,,1.32%
12/8/21,1752.44,1751.66,1758.62,1741.29,,0.05%
13/08/2021,1779.15,1752.72,1780.53,1751.27,,1.52%
16/08/2021,1787.24,1778.44,1789.51,1770.38,,0.45%
17/08/2021,1785.96,1787.51,1795.77,1780.28,,-0.07%
18/08/2021,1787.59,1786.21,1794.31,1777.31,,0.09%
19/08/2021,1780.18,1788.05,1792.56,1774.20,,-0.41%
20/08/2021,1780.87,1780.44,1788.85,1777.96,,0.04%
23/08/2021,1805.20,1780.55,1806.92,1776.03,,1.37%
24/08/2021,1802.61,1805.61,1810.03,1799.73,,-0.14%
25/08/2021,1790.68,1802.86,1803.57,1782.45,,-0.66%
26/08/2021,1792.16,1791.09,1798.61,1779.48,,0.08%
27/08/2021,1816.67,1792.60,1819.38,1787.66,,1.37%
30/08/2021,1810.17,1817.55,1823.38,1807.28,,-0.36%
31/08/2021,1813.43,1810.26,1819.43,1801.47,,0.18%
1/9/21,1813.66,1813.57,1820.21,1808.18,,0.01%
2/9/21,1809.40,1813.92,1817.53,1804.48,,-0.23%
3/9/21,1826.19,1809.98,1834.55,1808.53,,0.93%
6/9/21,1823.10,1828.66,1830.60,1820.58,,-0.17%
7/9/21,1794.13,1823.27,1827.39,1792.33,,-1.59%
8/9/21,1788.93,1794.41,1802.60,1781.98,,-0.29%
9/9/21,1794.69,1789.19,1801.19,1783.83,,0.32%
10/9/21,1787.34,1794.61,1804.15,1786.53,,-0.41%
13/09/2021,1793.49,1788.55,1798.66,1783.73,,0.34%
14/09/2021,1804.27,1793.77,1808.99,1781.89,,0.60%
15/09/2021,1792.59,1804.53,1807.30,1790.28,,-0.65%
16/09/2021,1753.39,1794.34,1796.71,1745.04,,-2.19%
17/09/2021,1754.16,1753.67,1768.22,1747.07,,0.04%
20/09/2021,1763.88,1754.30,1767.31,1742.24,,0.55%
21/09/2021,1774.25,1764.19,1782.07,1757.61,,0.59%
22/09/2021,1767.91,1774.51,1787.51,1764.84,,-0.36%
23/09/2021,1742.57,1768.40,1776.60,1737.84,,-1.43%
24/09/2021,1749.86,1742.82,1758.08,1739.60,,0.42%
27/09/2021,1749.85,1751.24,1761.29,1744.19,,0.00%
28/09/2021,1733.68,1750.45,1754.80,1727.18,,-0.92%
29/09/2021,1726.11,1733.97,1746.11,1721.07,,-0.44%
30/09/2021,1756.66,1726.40,1764.53,1721.67,,1.77%
1/10/21,1760.36,1756.91,1764.40,1749.36,,0.21%
4/10/21,1769.51,1762.15,1771.06,1747.23,,0.52%
5/10/21,1759.96,1769.75,1771.03,1748.56,,-0.54%
6/10/21,1762.48,1760.45,1765.78,1745.45,,0.14%
7/10/21,1755.29,1762.74,1767.45,1751.38,,-0.41%
8/10/21,1756.67,1755.89,1781.60,1753.03,,0.08%
11/10/21,1753.86,1757.34,1761.36,1749.68,,-0.16%
12/10/21,1759.93,1754.12,1769.78,1750.47,,0.35%
13/10/2021,1792.65,1760.05,1796.31,1757.89,,1.86%
14/10/2021,1795.56,1792.75,1800.91,1786.22,,0.16%
15/10/2021,1767.26,1795.81,1796.89,1764.48,,-1.58%
18/10/2021,1764.60,1767.74,1772.30,1759.68,,-0.15%
19/10/2021,1768.87,1764.99,1785.53,1762.48,,0.24%
20/10/2021,1781.83,1769.28,1788.68,1766.50,,0.73%
21/10/2021,1782.76,1782.10,1789.61,1776.07,,0.05%
22/10/2021,1792.48,1782.89,1814.22,1782.46,,0.55%
25/10/2021,1807.47,1794.00,1810.18,1791.95,,0.84%
26/10/2021,1792.63,1807.90,1808.50,1781.98,,-0.82%
27/10/2021,1796.69,1793.04,1799.38,1782.83,,0.23%
28/10/2021,1798.62,1796.78,1810.49,1792.34,,0.11%
29/10/2021,1782.81,1799.03,1801.49,1771.70,,-0.88%
1/11/21,1793.05,1783.24,1796.20,1778.89,,0.57%
2/11/21,1787.28,1793.61,1796.91,1785.78,,-0.32%
3/11/21,1769.52,1787.71,1788.42,1758.45,,-0.99%
4/11/21,1791.70,1769.98,1799.26,1769.13,,1.25%
5/11/21,1816.73,1792.14,1818.61,1785.17,,1.40%
8/11/21,1824.26,1818.44,1826.93,1812.08,,0.41%
9/11/21,1831.48,1824.74,1833.08,1817.70,,0.40%
10/11/21,1849.57,1831.90,1868.70,1821.60,,0.99%
11/11/21,1861.52,1849.69,1866.35,1842.66,,0.65%
12/11/21,1864.04,1861.99,1868.69,1844.78,,0.14%
15/11/2021,1862.46,1868.15,1870.57,1855.73,,-0.09%
16/11/2021,1849.91,1862.94,1877.40,1849.16,,-0.67%
17/11/2021,1866.96,1850.34,1868.32,1849.38,,0.92%
18/11/2021,1858.46,1866.97,1871.29,1854.94,,-0.46%
19/11/2021,1844.60,1858.90,1865.76,1842.98,,-0.75%
22/11/2021,1805.04,1846.74,1849.49,1801.95,,-2.14%
23/11/2021,1789.73,1805.65,1812.50,1781.63,,-0.85%
24/11/2021,1788.50,1790.34,1797.01,1778.44,,-0.07%
25/11/2021,1788.45,1789.49,1795.65,1785.85,,0.00%
26/11/2021,1791.81,1788.70,1815.78,1780.79,,0.19%
29/11/2021,1785.01,1790.05,1799.80,1781.23,,-0.38%
30/11/2021,1773.78,1785.34,1809.38,1769.43,,-0.63%
1/12/21,1782.66,1774.15,1794.80,1771.96,,0.50%
2/12/21,1768.64,1783.05,1783.58,1761.68,,-0.79%
3/12/21,1783.74,1768.84,1786.44,1765.63,,0.85%
6/12/21,1778.11,1784.79,1787.87,1775.91,,-0.32%
7/12/21,1784.04,1778.08,1788.02,1771.93,,0.33%
8/12/21,1782.06,1784.40,1793.60,1779.45,,-0.11%
9/12/21,1774.46,1782.49,1788.05,1772.80,,-0.43%
10/12/21,1782.51,1774.94,1789.47,1769.43,,0.45%
13/12/2021,1786.94,1782.94,1791.78,1781.51,,0.25%
14/12/2021,1770.18,1787.19,1789.74,1766.31,,-0.94%
15/12/2021,1777.06,1770.49,1781.04,1753.84,,0.39%
16/12/2021,1799.03,1777.40,1799.53,1775.43,,1.24%
17/12/2021,1797.68,1799.55,1814.63,1795.67,,-0.07%
20/12/2021,1789.32,1799.40,1804.32,1787.98,,-0.47%
21/12/2021,1788.36,1789.74,1800.85,1784.58,,-0.05%
22/12/2021,1803.40,1788.94,1805.13,1785.41,,0.84%
23/12/2021,1807.91,1803.69,1811.02,1798.88,,0.25%
24/12/2021,1808.11,1808.19,1812.70,1801.61,,0.01%
27/12/2021,1810.90,1808.19,1813.74,1802.89,,0.15%
28/12/2021,1805.37,1811.84,1820.70,1804.38,,-0.31%
29/12/2021,1803.66,1805.59,1808.16,1788.94,,-0.09%
30/12/2021,1815.01,1803.99,1817.44,1795.78,,0.63%
31/12/2021,1828.39,1815.44,1830.58,1814.15,,0.74%
