Date,Price,Open,High,Low,Vol.,Change %
7/1/21,1417.08,1412.15,1417.27,1402.18,753560,0.61%
7/2/21,1420.27,1422.89,1424.28,1415.82,706830,0.23%
7/5/21,1411.13,1420.27,1421.52,1394.12,774450,-0.64%
7/6/21,1354.79,1411.13,1418.99,1354.79,773510,-3.99%
7/7/21,1388.55,1354.79,1388.55,1334.58,733800,2.49%
7/8/21,1374.68,1388.55,1388.55,1363.92,528830,-1.00%
7/9/21,1347.14,1374.68,1374.68,1335.9,713990,-2.00%
7/12/21,1296.3,1347.14,1347.14,1270.06,912740,-3.77%
7/13/21,1297.54,1296.3,1307.73,1278.3,500180,0.10%
7/14/21,1279.91,1297.54,1305.37,1264.68,547970,-1.36%
7/15/21,1293.92,1279.91,1299.18,1270.77,419140,1.09%
7/16/21,1299.31,1293.92,1304.37,1293.92,415120,0.42%
7/19/21,1243.51,1299.31,1299.31,1237.79,731020,-4.29%
7/20/21,1273.29,1243.51,1273.29,1225.52,568600,2.39%
7/21/21,1270.79,1273.29,1284.33,1266.71,451950,-0.20%
7/22/21,1293.67,1270.79,1294.16,1266.54,536410,1.80%
7/23/21,1268.83,1293.67,1295.63,1268.83,582250,-1.92%
7/26/21,1272.71,1268.83,1277.33,1254.57,508550,0.31%
7/27/21,1276.93,1272.71,1288.35,1272.71,566750,0.33%
7/28/21,1277.07,1276.93,1281.17,1271.78,406890,0.01%
7/29/21,1293.6,1277.07,1293.6,1277.07,491060,1.29%
7/30/21,1310.05,1293.6,1311.97,1293.6,644440,1.27%
8/2/21,1314.22,1310.05,1322.35,1304.49,614530,0.32%
8/3/21,1332.44,1314.22,1332.44,1314.22,647010,1.39%
8/4/21,1334.74,1332.44,1340.76,1328.4,661800,0.17%
8/5/21,1345.55,1334.74,1346.62,1326.8,635470,0.81%
8/6/21,1341.45,1345.55,1351.85,1341.45,736160,-0.30%
8/9/21,1359.86,1341.45,1361.12,1334.69,688430,1.37%
8/10/21,1362.43,1359.86,1370.35,1358.12,716540,0.19%
8/11/21,1357.79,1362.43,1374.03,1357.79,806770,-0.34%
8/12/21,1353.05,1357.79,1365.01,1353.05,741560,-0.35%
8/13/21,1357.05,1353.05,1357.41,1336.74,744150,0.30%
8/16/21,1370.96,1357.05,1372.33,1357.05,827710,1.03%
8/17/21,1363.09,1370.96,1379.7,1359.11,768610,-0.57%
8/18/21,1360.94,1363.09,1370.5,1355.83,689780,-0.16%
8/19/21,1374.85,1360.94,1374.85,1352.94,728170,1.02%
8/20/21,1329.43,1374.85,1374.85,1317.52,1210000,-3.30%
8/23/21,1298.86,1329.43,1329.43,1298.86,795070,-2.30%
8/24/21,1298.74,1298.86,1307.56,1289.16,714270,-0.01%
8/25/21,1309.55,1298.74,1310.16,1291.7,522870,0.83%
8/26/21,1301.12,1309.55,1316.26,1295.77,524290,-0.64%
8/27/21,1313.2,1301.12,1313.2,1285.16,685060,0.93%
8/30/21,1328.14,1313.2,1329.62,1313.2,676540,1.14%
8/31/21,1331.47,1328.14,1336.14,1325.69,733830,0.25%
9/1/21,1334.65,1331.47,1338.02,1328.13,719960,0.24%
9/6/21,1346.39,1334.65,1348.36,1334.65,944410,0.88%
9/7/21,1341.9,1346.39,1353.66,1340.32,869380,-0.33%
9/8/21,1333.61,1341.9,1344.49,1328.35,626080,-0.62%
9/9/21,1343.98,1333.61,1345.59,1332.67,642570,0.78%
9/10/21,1345.31,1343.98,1350.43,1343.98,598730,0.10%
9/13/21,1341.43,1345.31,1350.69,1340.5,775470,-0.29%
9/14/21,1339.7,1341.43,1349.13,1336.84,730450,-0.13%
9/15/21,1345.83,1339.7,1347.7,1334.97,692090,0.46%
9/16/21,1345.87,1345.83,1353.12,1341.23,599770,0.00%
9/17/21,1352.64,1345.87,1356.45,1345.87,852780,0.50%
9/20/21,1350.48,1352.64,1365.92,1349.18,895460,-0.16%
9/21/21,1339.84,1350.48,1350.48,1324.82,859680,-0.79%
9/22/21,1350.68,1339.84,1350.71,1336.63,779650,0.81%
9/23/21,1352.76,1350.68,1361.09,1350.43,997610,0.15%
9/24/21,1351.17,1352.76,1356.97,1348.07,673100,-0.12%
9/27/21,1324.99,1351.17,1354.38,1324.99,778440,-1.94%
9/28/21,1339.31,1324.99,1341.81,1316.41,623510,1.08%
9/29/21,1339.21,1339.31,1340.9,1328.17,598500,-0.01%
9/30/21,1342.06,1339.21,1348.89,1339.21,438290,0.21%
10/1/21,1334.89,1342.06,1344.06,1332.97,738170,-0.53%
10/4/21,1339.54,1334.89,1347.49,1333.53,736080,0.35%
10/5/21,1354.63,1339.54,1354.63,1339.54,636270,1.13%
10/6/21,1362.82,1354.63,1362.82,1354.63,637000,0.60%
10/7/21,1365.99,1362.82,1367.64,1360.57,693030,0.23%
10/8/21,1372.73,1365.99,1373.18,1365.93,632860,0.49%
10/11/21,1394.09,1372.73,1394.64,1372.73,764350,1.56%
10/12/21,1394.8,1394.09,1400.78,1389.43,742810,0.05%
10/13/21,1391.91,1394.8,1400.67,1389.61,645350,-0.21%
10/14/21,1391.85,1391.91,1398.67,1388.89,725510,0.00%
10/15/21,1392.7,1391.85,1399.03,1388,784560,0.06%
10/18/21,1395.53,1392.7,1402.63,1390.88,795920,0.20%
10/19/21,1395.33,1395.53,1399.66,1388.95,639440,-0.01%
10/20/21,1393.8,1395.33,1401.76,1376.15,845890,-0.11%
10/21/21,1384.77,1393.8,1398.45,1384.77,709070,-0.65%
10/22/21,1389.24,1384.77,1393.7,1384.77,798130,0.32%
10/25/21,1385.4,1389.24,1395.72,1385.4,899260,-0.28%
10/26/21,1391.63,1385.4,1393.03,1377.56,747950,0.45%
10/27/21,1423.02,1391.63,1423.02,1391.63,935220,2.26%
10/28/21,1438.01,1423.02,1440.64,1420.42,865430,1.05%
10/29/21,1444.27,1438.01,1447.62,1432.19,982010,0.44%
11/1/21,1438.97,1444.27,1451.81,1435.57,1130000,-0.37%
11/2/21,1452.46,1438.97,1452.46,1438.83,1010000,0.94%
11/3/21,1444.3,1452.46,1463.63,1440.67,1510000,-0.56%
11/4/21,1448.34,1444.3,1451.98,1435.84,929530,0.28%
11/5/21,1456.51,1448.34,1459.93,1444.51,874070,0.56%
11/8/21,1467.57,1456.51,1470.49,1456.51,1080000,0.76%
11/9/21,1461.5,1467.57,1474.2,1457.57,1030000,-0.41%
11/10/21,1465.02,1461.5,1470.19,1457.98,985540,0.24%
11/11/21,1462.35,1465.02,1472.89,1449.18,1270000,-0.18%
11/12/21,1473.37,1462.35,1474.98,1453.22,955630,0.75%
11/15/21,1476.57,1473.37,1481.96,1466.01,1170000,0.22%
11/16/21,1466.45,1476.57,1476.97,1459.08,1220000,-0.69%
11/17/21,1475.85,1466.45,1477.04,1464.78,860800,0.64%
11/18/21,1469.83,1475.85,1482.87,1469.83,1090000,-0.41%
11/19/21,1452.35,1469.83,1481.53,1434.69,1520000,-1.19%
11/22/21,1447.25,1452.35,1466.46,1442.85,1270000,-0.35%
11/23/21,1463.63,1447.25,1463.63,1438.41,880070,1.13%
11/24/21,1488.87,1463.63,1491.05,1463.63,1120000,1.72%
11/25/21,1500.81,1488.87,1505.36,1488.87,1010000,0.80%
11/26/21,1493.03,1500.81,1511.68,1488.83,1060000,-0.52%
11/29/21,1484.84,1493.03,1493.03,1464.83,1010000,-0.55%
11/30/21,1478.44,1484.84,1503.09,1471.57,1080000,-0.43%
12/1/21,1485.19,1478.44,1487.68,1471.3,876730,0.46%
12/2/21,1482.05,1485.19,1493.84,1482.05,763960,-0.21%
12/3/21,1443.32,1482.05,1491.2,1443.32,1100000,-2.61%
12/6/21,1413.58,1443.32,1452.55,1400.87,1040000,-2.06%
12/7/21,1446.77,1413.58,1446.77,1413.58,755910,2.35%
12/8/21,1452.87,1446.77,1460.28,1446.77,771030,0.42%
12/9/21,1467.98,1452.87,1467.98,1446.88,665460,1.04%
12/10/21,1463.54,1467.98,1475.85,1461.78,798290,-0.30%
12/13/21,1476.21,1463.54,1481.7,1463.54,865580,0.87%
12/14/21,1476.02,1476.21,1485.14,1469.21,964110,-0.01%
12/15/21,1475.5,1476.02,1481.67,1468.21,906080,-0.04%
12/16/21,1476.61,1475.5,1482.32,1468.95,927540,0.08%
12/17/21,1479.79,1476.61,1487.73,1476.61,1110000,0.22%
12/20/21,1477.33,1479.79,1483.85,1468.88,963350,-0.17%
12/21/21,1478.74,1477.33,1486.09,1472.43,902840,0.10%
12/22/21,1477.67,1478.74,1489.24,1471.84,1070000,-0.07%
12/23/21,1456.96,1477.67,1481.21,1447.14,1360000,-1.40%
12/24/21,1477.03,1456.96,1478.8,1456.32,889480,1.38%
12/27/21,1488.88,1477.03,1490.12,1469.91,752110,0.80%
12/28/21,1494.39,1488.88,1499.77,1483.97,1000000,0.37%
12/29/21,1485.82,1494.39,1498.91,1485.82,843880,-0.57%
12/30/21,1485.97,1490.96,1493.38,1484.82,747860,0.01%
12/31/21,1498.28,1485.97,1499.07,1485.97,875730,0.83%
